pos X[m] Y[m] Z[m]
01 -1.24607 0.34973 1.26411
02 -1.30559 0.38462 0.96391
03 -1.01533 1.52089 1.01090
04 -1.53120 0.55667 1.53816
05 -1.41328 1.28338 1.53587
06 -1.43265 0.64644 1.53771
07 -2.01533 0.36455 1.54378
08 -2.53690 0.66256 1.54822
09 -0.93093 0.46668 1.54159
10 -0.79746 1.48690 1.53608
11 -1.40970 1.61899 1.53314
12 -1.68883 1.15552 1.54044
13 -1.53023 1.29977 1.53936
14 -0.96991 1.73240 1.53610
15 -1.25642 0.57217 1.54766
